state,year,total_mwh,total_emissions,total_wx,weighted_intensity_t_per_mwh,accredited_capacity_mw,accredited_projects,total number of businesses,number of non-employing businesses,number of employing businesses: 1-4 employees,number of employing businesses: 5-19 employees,number of employing businesses: 20 or more employees,mining (no.),manufacturing (no.),"electricity, gas, water and waste services (no.)",construction (no.),"transport, postal and warehousing (no.)",number of businesses with turnover of $200k to less than $2m,number of businesses with turnover of $2m to less than $5m,number of businesses with turnover of $5m to less than $10m,number of businesses with turnover of $10m or more
ACT,2015,63256.0,1788.0,1503.46,0.0237678639180473,0.776,2.0,,,,,,,,,,,,,,
ACT,2016,26750.0,1768.0,1872.5,0.07,27.478,6.0,,,,,,,,,,,,,,
ACT,2017,73003.0,2355.0,2048.59,0.0280617234908154,,,,,,,,,,,,,,,,
ACT,2018,93555.0,2061.0,1867.46,0.0199610924055368,0.8428,3.0,,,,,,,,,,,,,,
ACT,2019,87670.0,1575.0,1400.16,0.0159707995893692,0.5493,2.0,,,,,,,,,,,,,,
ACT,2020,90253.0,2979.0,2802.6,0.031052707389228,7.3472,7.0,29724.0,17381.0,8319.0,3110.0,914.0,21.0,630.0,82.0,5758.0,2414.0,10802.0,1373.0,487.0,463.0
ACT,2021,84427.0,3786.0,3258.7000000000003,0.0385978419226077,1.6577000000000002,3.0,31490.0,17258.0,9995.0,3288.0,949.0,23.0,659.0,97.0,6147.0,2480.0,11273.0,1439.0,505.0,509.0
ACT,2022,246566.0,5287.0,4152.0,0.016839304689211,0.5877,3.0,33813.0,18482.0,10867.0,3452.0,1012.0,24.0,716.0,120.0,6508.0,2674.0,12385.0,1583.0,580.0,536.0
ACT,2023,224556.0,5621.0,4278.24,0.0190519959386522,1.6163,7.0,35086.0,19518.0,10908.0,3551.0,1109.0,27.0,711.0,127.0,6625.0,2866.0,13273.0,1771.0,638.0,634.0
ACT,2024,,,,,0.7917,2.0,36316.0,20797.0,10764.0,3582.0,1173.0,25.0,717.0,112.0,6788.0,3289.0,13747.0,1844.0,652.0,644.0
AUS,2015,229148059.0,182521079.0,180863408.53,0.7892862340588275,,,,,,,,,,,,,,,,
AUS,2016,223122626.0,182543420.0,181124374.6,0.8117705400258242,,,,,,,,,,,,,,,,
AUS,2017,233521005.0,175908234.0,174632989.04,0.7478256144024389,,,,,,,,,,,,,,,,
AUS,2018,231905721.0,171938606.0,169990670.07,0.7330162849669414,,,,,,,,,,,,,,,,
AUS,2019,228335529.0,163826113.0,162173181.10999998,0.7102406787951077,,,,,,,,,,,,,,,,
AUS,2020,223503838.0,156470814.0,154821800.29,0.6927030948345504,,,2314448.0,1441105.0,599516.0,213218.0,60609.0,8002.0,83426.0,7604.0,394742.0,201918.0,779836.0,96209.0,34491.0,38115.0
AUS,2021,220922540.0,147625018.0,145548655.4,0.6588221165662861,,,2402254.0,1410049.0,711364.0,220427.0,60414.0,8036.0,86075.0,7961.0,411236.0,196800.0,782804.0,96227.0,34320.0,37937.0
AUS,2022,219283084.0,142202366.0,140014167.23000002,0.6385087471225096,,,2539724.0,1521428.0,727457.0,226968.0,63871.0,8369.0,89237.0,8307.0,435288.0,210075.0,849402.0,108650.0,39182.0,42582.0
AUS,2023,219320399.0,141681872.0,139681421.19,0.6368829430681457,,,2589873.0,1585693.0,703467.0,231259.0,69454.0,8473.0,90174.0,8582.0,444419.0,218662.0,895806.0,117843.0,43729.0,47718.0
AUS,2024,,,,,,,2662998.0,1663837.0,693558.0,232200.0,73403.0,8589.0,90476.0,8767.0,452820.0,237506.0,931592.0,125445.0,46417.0,50854.0
NSW,2015,67819197.0,51802322.0,51309539.36,0.7565636520290855,160.3365,15.0,,,,,,,,,,,,,,
NSW,2016,67618164.0,51461543.0,50982122.28,0.7539708158890561,68.0629,22.0,,,,,,,,,,,,,,
NSW,2017,68459457.0,52017521.0,51555871.09,0.7530861819426934,549.3045,25.0,,,,,,,,,,,,,,
NSW,2018,69041422.0,52407118.0,51668467.13,0.7483691041299815,745.1012,79.0,,,,,,,,,,,,,,
NSW,2019,66767885.0,50074503.0,49430194.1,0.740328888656575,1410.9552,80.0,,,,,,,,,,,,,,
NSW,2020,66062106.0,47477514.0,46961360.61,0.7108668411206872,947.5605,97.0,786246.0,470966.0,225070.0,70491.0,19719.0,1567.0,26642.0,2466.0,131301.0,66666.0,265416.0,32547.0,11980.0,14639.0
NSW,2021,66059193.0,44495744.0,43602536.36,0.6600525132058456,902.3515,74.0,817603.0,457432.0,267680.0,72797.0,19694.0,1569.0,27530.0,2606.0,138030.0,63707.0,267900.0,32686.0,11868.0,14332.0
NSW,2022,65507505.0,43767780.0,42839964.67,0.653970330117137,1133.4236,65.0,854727.0,486578.0,272838.0,74786.0,20525.0,1564.0,28451.0,2739.0,146571.0,63265.0,286672.0,36333.0,13228.0,15716.0
NSW,2023,65088611.0,41640665.0,40993035.4,0.6298035058698671,727.5821,145.0,870951.0,509549.0,264129.0,75435.0,21838.0,1618.0,28529.0,2787.0,149387.0,66624.0,304654.0,39717.0,15030.0,17569.0
NSW,2024,,,,,937.4823,141.0,896560.0,537650.0,259979.0,75508.0,23423.0,1641.0,28776.0,2835.0,153172.0,71450.0,317150.0,42610.0,15979.0,18725.0
NT,2015,2366816.0,1316036.0,1316134.23,0.556077967193056,1.6668,3.0,,,,,,,,,,,,,,
NT,2016,2256715.0,1327183.0,1327807.15,0.588380522130619,8.4695,7.0,,,,,,,,,,,,,,
NT,2017,2279465.0,1323375.0,1326053.35,0.5817388510023185,,,,,,,,,,,,,,,,
NT,2018,2294756.0,1286653.0,1290169.21,0.5622250078003935,8.2757,23.0,,,,,,,,,,,,,,
NT,2019,2213093.0,1258905.0,1260540.68,0.569583239384879,3.1601,7.0,,,,,,,,,,,,,,
NT,2020,2154199.0,1290345.0,1289882.9,0.5987761112134952,35.920300000000005,7.0,14547.0,8664.0,3345.0,1941.0,597.0,75.0,469.0,54.0,2844.0,1325.0,5283.0,848.0,277.0,229.0
NT,2021,2204131.0,1228742.0,1230928.5699999998,0.5584643426366218,26.7373,6.0,14943.0,8514.0,3901.0,1966.0,562.0,74.0,470.0,58.0,2877.0,1365.0,5346.0,826.0,315.0,212.0
NT,2022,2233127.0,1218611.0,1214223.22,0.543732273175686,21.2063,3.0,15731.0,9056.0,4032.0,2021.0,622.0,76.0,494.0,63.0,2957.0,1429.0,5799.0,934.0,335.0,258.0
NT,2023,2300930.0,1264416.0,1263246.34,0.549015545887967,16.2346,8.0,16105.0,9371.0,4046.0,2014.0,674.0,78.0,499.0,58.0,3009.0,1490.0,6028.0,978.0,376.0,298.0
NT,2024,,,,,0.252,1.0,16380.0,9508.0,4104.0,2063.0,705.0,86.0,511.0,58.0,2993.0,1585.0,6217.0,965.0,401.0,323.0
QLD,2015,59360251.0,47556706.0,47238434.06,0.7957923570774659,13.4632,8.0,,,,,,,,,,,,,,
QLD,2016,66800499.0,54177011.0,53951500.31,0.8076511570669554,5.3822,15.0,,,,,,,,,,,,,,
QLD,2017,68653029.0,56398236.0,56183347.07,0.8183666167154839,141.4678,28.0,,,,,,,,,,,,,,
QLD,2018,68290752.0,55755161.0,55174338.21,0.8079327960834287,1528.7366,66.0,,,,,,,,,,,,,,
QLD,2019,67098200.0,52727914.0,52278403.78,0.7791327305352453,1255.7431,80.0,,,,,,,,,,,,,,
QLD,2020,63914860.0,49921657.0,49391029.32,0.7727628492028301,279.6447,58.0,443911.0,276478.0,112486.0,42945.0,12002.0,1825.0,16638.0,1400.0,77086.0,35374.0,154194.0,18159.0,6252.0,6019.0
QLD,2021,59194490.0,45917185.0,45257336.52,0.7645531960829461,696.0541000000001,46.0,460813.0,270926.0,133587.0,44445.0,11855.0,1785.0,17224.0,1451.0,79274.0,34571.0,155908.0,18310.0,6387.0,6188.0
QLD,2022,58660844.0,43273375.0,42563785.75,0.7255910901997933,703.7178,51.0,482302.0,285839.0,137363.0,46174.0,12926.0,1848.0,17930.0,1530.0,82950.0,34450.0,170995.0,21058.0,7467.0,7137.0
QLD,2023,59601414.0,42858242.0,42057924.95,0.705653140209056,692.1526,87.0,497025.0,299839.0,135427.0,47597.0,14162.0,1834.0,18288.0,1601.0,85501.0,36272.0,180411.0,22728.0,8189.0,8136.0
QLD,2024,,,,,1007.9823,75.0,510444.0,312614.0,134743.0,48130.0,14957.0,1895.0,18364.0,1632.0,87004.0,39062.0,187874.0,23993.0,8744.0,8862.0
SA,2015,11611437.0,5086205.0,5058164.01,0.4356191236278507,10.025,2.0,,,,,,,,,,,,,,
SA,2016,9750256.0,2968472.0,2923865.43,0.2998757601851685,104.2397,9.0,,,,,,,,,,,,,,
SA,2017,13047927.0,3556621.0,3521506.5500000003,0.269890117410988,232.8101,22.0,,,,,,,,,,,,,,
SA,2018,12703139.0,3343781.0,3320171.4000000004,0.2613662182237005,428.0814,59.0,,,,,,,,,,,,,,
SA,2019,12680116.0,3096047.0,3062616.72,0.2415290774942437,407.9777,70.0,,,,,,,,,,,,,,
SA,2020,11926022.0,2557357.0,2520543.24,0.2113481964061444,42.1479,49.0,145383.0,96066.0,31606.0,13947.0,3764.0,521.0,6323.0,581.0,23544.0,11076.0,49618.0,5882.0,2018.0,1914.0
SA,2021,11126572.0,2060423.0,2011068.75,0.180744684885875,100.0015,41.0,149462.0,95196.0,36244.0,14326.0,3696.0,513.0,6401.0,599.0,24189.0,11119.0,49738.0,6068.0,1991.0,1948.0
