Year,Total number of businesses,Number of non-employing businesses,Number of employing businesses: 1-4 employees,Number of employing businesses: 5-19 employees,Number of employing businesses: 20 or more employees,Mining (no.),Manufacturing (no.),"Electricity, gas, water and waste services (no.)",Construction (no.),"Transport, postal and warehousing (no.)",Number of businesses with turnover of $200k to less than $2m,Number of businesses with turnover of $2m to less than $5m,Number of businesses with turnover of $5m to less than $10m,Number of businesses with turnover of $10m or more,State
2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AUS
2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AUS
2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AUS
2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AUS
2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AUS
2020.0,2314448,1441105,599516,213218,60609,8002,83426,7604,394742,201918,779836,96209,34491,38115,AUS
2021.0,2402254,1410049,711364,220427,60414,8036,86075,7961,411236,196800,782804,96227,34320,37937,AUS
2022.0,2539724,1521428,727457,226968,63871,8369,89237,8307,435288,210075,849402,108650,39182,42582,AUS
2023.0,2589873,1585693,703467,231259,69454,8473,90174,8582,444419,218662,895806,117843,43729,47718,AUS
2024.0,2662998,1663837,693558,232200,73403,8589,90476,8767,452820,237506,931592,125445,46417,50854,AUS
2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NSW
2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NSW
2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NSW
2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NSW
2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NSW
2020.0,786246,470966,225070,70491,19719,1567,26642,2466,131301,66666,265416,32547,11980,14639,NSW
2021.0,817603,457432,267680,72797,19694,1569,27530,2606,138030,63707,267900,32686,11868,14332,NSW
2022.0,854727,486578,272838,74786,20525,1564,28451,2739,146571,63265,286672,36333,13228,15716,NSW
2023.0,870951,509549,264129,75435,21838,1618,28529,2787,149387,66624,304654,39717,15030,17569,NSW
2024.0,896560,537650,259979,75508,23423,1641,28776,2835,153172,71450,317150,42610,15979,18725,NSW
2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VIC
2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VIC
