State,year,total_mwh,total_emissions,total_wx,weighted_intensity_t_per_mwh
ACT,2014,98106.0,1708.0,1509.84,0.015389884410739404
ACT,2015,63256.0,1788.0,1503.46,0.0237678639180473
ACT,2016,26750.0,1768.0,1872.5000000000002,0.07
ACT,2017,73003.0,2355.0,2048.59,0.028061723490815448
ACT,2018,93555.0,2061.0,1867.4599999999998,0.019961092405536847
ACT,2019,87670.0,1575.0,1400.1599999999999,0.015970799589369224
ACT,2020,90253.0,2979.0,2802.6,0.03105270738922806
ACT,2021,84427.0,3786.0,3258.7000000000003,0.0385978419226077
ACT,2022,246566.0,5287.0,4152.0,0.016839304689211004
ACT,2023,224556.0,5621.0,4278.24,0.019051995938652273
AUS,2014,228652749.0,183727525.0,181943550.36,0.7957199340734802
AUS,2015,229148059.0,182521079.0,180863408.53,0.7892862340588275
AUS,2016,223122626.0,182543420.0,181124374.6,0.8117705400258242
AUS,2017,233521005.0,175908234.0,174632989.04,0.7478256144024389
AUS,2018,231905721.0,171938606.0,169990670.07,0.7330162849669414
AUS,2019,228335529.0,163826113.0,162173181.10999998,0.7102406787951077
AUS,2020,223503838.0,156470814.0,154821800.29,0.6927030948345504
AUS,2021,220922540.0,147625018.0,145548655.4,0.6588221165662861
AUS,2022,219283084.0,142202366.0,140014167.23000002,0.6385087471225096
AUS,2023,219320399.0,141681872.0,139681421.19,0.6368829430681457
NSW,2014,61910557.0,48540756.0,48168487.74,0.7780335063049102
NSW,2015,67819197.0,51802322.0,51309539.36,0.7565636520290855
NSW,2016,67618164.0,51461543.0,50982122.28,0.7539708158890561
NSW,2017,68459457.0,52017521.0,51555871.089999996,0.7530861819426934
NSW,2018,69041422.0,52407118.0,51668467.129999995,0.7483691041299815
NSW,2019,66767885.0,50074503.0,49430194.1,0.740328888656575
NSW,2020,66062106.0,47477514.0,46961360.61,0.7108668411206872
NSW,2021,66059193.0,44495744.0,43602536.36,0.6600525132058456
NSW,2022,65507505.0,43767780.0,42839964.67,0.653970330117137
NSW,2023,65088611.0,41640665.0,40993035.4,0.6298035058698671
NT,2014,2305355.0,1374534.0,1361860.84,0.5907380164876993
NT,2015,2366816.0,1316036.0,1316134.23,0.556077967193056
NT,2016,2256715.0,1327183.0,1327807.15,0.588380522130619
