Code,Label,Year,Number of non-employing businesses,Number of employing businesses: 1-4 employees,Number of employing businesses: 5-19 employees,Number of employing businesses: 20 or more employees,Total number of businesses,Number of non-employing business entries,Number of employing business entries: 1-4 employees,Number of employing business entries: 5-19 employees,Number of employing business entries: 20 or more employees,Total number of business entries,Number of non-employing business exits,Number of employing business exits: 1-4 employees,Number of employing business exits: 5-19 employees,Number of employing business exits: 20 or more employees,Total number of business exits,"Agriculture, forestry and fishing (no.)",Mining (no.),Manufacturing (no.),"Electricity, gas, water and waste services (no.)",Construction (no.),Wholesale trade (no.),Retail trade (no.),Accommodation and food services (no.),"Transport, postal and warehousing (no.)",Information media and telecommunications (no.),Financial and insurance services (no.),"Rental, hiring and real estate services (no.)","Professional, scientific and technical services (no.)",Administrative and support services (no.),Public administration and safety (no.),Education and training (no.),Health care and social assistance (no.),Arts and recreation services (no.),Other services (no.),Currently unknown (no.),Number of businesses with turnover of zero to less than $50k,Number of businesses with turnover of $50k to less than $200k,Number of businesses with turnover of $200k to less than $2m,Number of businesses with turnover of $2m to less than $5m,Number of businesses with turnover of $5m to less than $10m,Number of businesses with turnover of $10m or more,Number of business entries with turnover of zero to less than $50k,Number of business entries with turnover of $50k to less than $200k,Number of business entries with turnover of $200k to less than $2m,Number of business entries with turnover of $2m to less than $5m,Number of business entries with turnover of $5m to less than $10m,Number of business entries with turnover of $10m or more,Number of business exits with turnover of zero to less than $50k,Number of business exits with turnover of $50k to less than $200k,Number of business exits with turnover of $200k to less than $2m,Number of business exits with turnover of $2m to less than $5m,Number of business exits with turnover of $5m to less than $10m,Number of business exits with turnover of $10m or more,Private sector houses (no.),Private sector dwellings excluding houses (no.),Total private sector dwelling units (no.),Total dwelling units (no.),Value of private sector houses ($m),Value of private sector dwellings excluding houses ($m),Total value of private sector dwelling units ($m),Value of residential building ($m),Value of non-residential building ($m),Value of total building ($m),Number of established house transfers (no.),Median price of established house transfers ($),Number of attached dwelling transfers (no.),Median price of attached dwelling transfers ($),Debtors entering business related personal insolvencies (no.),Debtors entering non-business related personal insolvencies (no.),Total debtors entering personal insolvencies (no.),Managers (no.),Professionals (no.),Technicians and trades workers (no.),Community and personal service workers (no.),Clerical and administrative workers (no.),Sales workers (no.),Machinery operators and drivers (no.),Labourers (no.),Debtors with other or unknown occupations (no.),Area of holding - total area (ha),Dairy cattle - total (no.),Meat cattle - total (no.),Sheep and lambs - total (no.),Pigs - total (no.),Meat chickens - total (no.),Broadacre crops - total area (ha),Vegetables - total area (ha),Orchard fruit trees and nut trees (produce intended for sale) - total area - (ha),Agricultural production - total gross value ($m),Crops - total gross value ($m),Livestock slaughtered and other disposals - total gross value ($m),"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing (%),"Electricity, gas, water and waste services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, postal and warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, hiring and real estate services (%)","Professional, scientific and technical services (%)",Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Industry of employment inadequately described or not stated (%),Total persons employed aged 15 years and over (no.),Houses - additions (no.),Houses - removals (no.),Houses - total (no.),Townhouses - additions (no.),Townhouses - removals (no.),Townhouses - total (no.),Apartments - additions (no.),Apartments - removals (no.),Apartments - total (no.),Total dwelling additions (no.),Total dwelling removals (no.),Total dwellings (no.)
AUS,Australia,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,388994482,2512921,23973058,69933468,2257779,75494429,-,-,-,-,-,-,2.5,1.8,9,1.1,8.2,4,10.5,6.5,4.8,1.8,3.8,1.6,7.3,3.2,6.9,8,11.6,1.5,3.8,2.3,10058325,-,-,-,-,-,-,-,-,-,-,-,-
AUS,Australia,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8082,22029,30107,2962,2562,4534,3359,3702,2609,3271,3862,3258,371078257,2665074,22306275,67543092,2294245,90052117,22012205,-,-,55994,27341.6,20622.5,2.5,1.7,6.4,1.1,8.5,2.9,9.9,6.9,4.7,1.7,3.6,1.7,7.3,3.4,6.7,8.7,12.6,1.7,3.7,4.4,10683844,-,-,-,-,-,-,-,-,-,-,-,-
AUS,Australia,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7551,23336,30889,3038,2689,4742,3643,3846,2726,3213,3853,3143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113258,18542,7279135,31729,480,1261457,73838,564,1464325,218884,19586,10022775
AUS,Australia,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319481,550000,157331,534995,7572,24722,32299,3211,3082,4811,3931,3961,2802,3522,4119,2862,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113930,21657,7371408,33346,919,1293884,66330,605,1530050,213652,23181,10213246
AUS,Australia,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110689,74655,185344,187751,42838,24049,66887,69192,47331,116523,279464,545000,127333,500000,6895,20591,27481,2827,2725,4113,3207,3340,2327,2995,3760,2201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122142,20697,7472853,32571,712,1325743,60705,985,1589770,215556,22394,10406408
AUS,Australia,2020.0,1441105,599516,213218,60609,2314448,-,-,-,-,-,-,-,-,-,-,171700,8002,83426,7604,394742,78963,138478,100585,201918,22609,107943,263973,300508,101560,7076,35150,149025,31991,106397,2798,613032,752765,779836,96209,34491,38115,-,-,-,-,-,-,-,-,-,-,-,-,104183,67613,171796,174528,41006,22652,63658,66174,52455,118628,293437,561000,140514,530000,5597,15480,21076,2228,2088,3090,2550,2445,1586,2274,2717,2103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105671,22123,7556401,27873,842,1352774,58921,1255,1647436,192514,24220,10574702
AUS,Australia,2021.0,1410049,711364,220427,60414,2402254,254149,102564,7670,1097,365480,226996,41052,7965,1661,277674,173031,8036,86075,7961,411236,81047,147533,105861,196800,23602,113023,272123,314642,106892,7003,37141,159780,33704,114274,2490,689620,761346,782804,96227,34320,37937,154133,141475,65982,2398,725,767,141469,85375,45438,3203,1035,1154,145890,72227,218117,221974,56468,25522,81990,85417,55964,141382,402346,610000,198101,562950,2825,7806,10627,1125,985,1387,1202,1085,695,1105,1305,1745,387264588.8,2382840.5,22048333.2,68047401.8,2577596.9,111189113,26249248.2,127623.7,202486.1,70856.9,39932.1,22467.6,2.3,1.8,5.9,1.1,8.9,2.6,9.1,6.5,4.5,1.4,3.7,1.6,7.8,3.2,6.6,8.8,14.5,1.6,3.6,4.4,12049410,105525,22661,7639265,27296,703,1379367,49548,1325,1695659,182405,24689,10732418
AUS,Australia,2022.0,1521428,727457,226968,63871,2539724,325373,106697,8915,1570,442555,228972,63292,10875,1946,305085,175079,8369,89237,8307,435288,81899,157574,110590,210075,24620,119722,285988,329244,117915,7497,40538,173752,36680,125209,2141,686701,813207,849402,108650,39182,42582,176038,182198,78686,3407,1074,1152,141469,85375,45438,3203,1035,1154,123404,74897,198301,202250,56241,28585,84826,88684,59625,148308,390743,720000,204540,590000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116605,25986,7729884,23166,743,1401790,34213,487,1729385,174147,27216,10879349
AUS,Australia,2023.0,1585693,703467,231259,69454,2589873,297302,99446,8359,1258,406365,297269,74347,12715,2061,386392,174471,8473,90174,8582,444419,82560,155755,110175,218662,24757,123266,290103,336214,120630,7488,40828,185260,37649,127986,2421,638893,845884,895806,117843,43729,47718,135042,186266,80056,3126,1023,852,180940,125241,72539,4892,1418,1362,106086,68594,174680,177641,55699,30878,86576,90489,69427,159916,310666,730000,168591,585000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS,Australia,2024.0,1663837,693558,232200,73403,2662998,325420,99864,9236,1498,436018,281059,66978,12673,2183,362893,172248,8589,90476,8767,452820,82037,156938,111654,237506,24885,129031,298772,344357,124039,7642,42083,199763,38486,131077,1828,644604,864086,931592,125445,46417,50854,147920,195992,86594,3547,1095,870,162505,124020,68862,4807,1354,1345,103971,56802,160773,163505,58374,27622,85996,90104,66114,156218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
