Reporting Entity,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Scope 1 t CO2 e,Scope 2 t CO2 e,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected,Grid,Primary Fuel,Important Notes,2014
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,567719,157700,19,293.0,312,0.0,On,NEM,Wind,,2014
ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,F,ACT,213115,59199,0,15.0,15,0.0,On,NEM,Solar,,2014
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2461803,683834,77,1144.0,1221,0.0,On,NEM,Wind,,2014
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,,3242637,900733,96,1452.0,1548,,,,,,2014
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,137094,38082,5,17.0,22,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,50275548,13965430,12253123,8306.0,12261429,0.88,On,NEM,Black Coal,,2014
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,266917,74144,83,839.0,922,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,27428,7619,1,97.0,98,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Clover Hydro,F,VIC,151368,42047,3,51.0,54,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,91666,25463,19260,86.0,19346,0.76,On,NEM,Gas,,2014
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,139785,38829,1,75.0,76,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,1608089,446691,0,727.0,727,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,710341,197317,20,153.0,173,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,42254,11737,0,16.0,16,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,43117,11977,745,1.0,746,0.06,On,NEM,Landfill Gas,,2014
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1136668,315741,135,217.0,352,0.0,On,NEM,Wind,,2014
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,858516,238477,85,187.0,272,0.0,On,NEM,Wind,,2014
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1543714,428809,133,360.0,493,0.0,On,NEM,Wind,,2014
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,489049,135847,75,175.0,250,0.0,On,NEM,Wind,,2014
AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,27374,7604,427,0.0,427,0.06,On,NEM,Landfill Gas,,2014
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,901,250,355,869.0,1224,1.42,On,NEM,Gas,,2014
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,14613,4059,238,5.0,243,0.06,On,NEM,Landfill Gas,,2014
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,24864251,6906736,6514993,46355.0,6561348,0.94,On,NEM,Black Coal,,2014
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,58415084,16226412,18508708,268516.0,18777224,1.14,On,NEM,Brown Coal,,2014
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,3589748,997152,371,2655.0,3026,0.0,On,NEM,Wind,,2014
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,317552,88209,0,6185.0,6185,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,82912,23031,12327,1142.0,13469,0.54,On,NEM,Coal Seam Methane,,2014
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,33769,9380,9,59.0,68,0.0,On,NEM,Solar,,2014
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,526539,146261,68,637.0,705,0.0,On,NEM,Wind,,2014
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,77364,21490,1320,6.0,1326,0.06,On,SWIS,Landfill Gas,,2014
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,167206,46446,0,47.0,47,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,19739,5483,356,8.0,364,0.06,On,NEM,Landfill Gas,,2014
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,37669,10464,8378,2036.0,10414,0.8,On,NEM,Gas,,2014
AGL ENERGY LIMITED,Suncoast Biomass Generation Plant,F,QLD,3091,859,38,69.0,107,0.04,On,NEM,Macadamia Nut Shells,,2014
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,6057169,1682547,983263,15130.0,998393,0.58,On,NEM,Gas/Diesel,,2014
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,937578,260438,49,229.0,278,0.0,On,NEM,Wind,,2014
AGL ENERGY LIMITED,Werribee Biogas Generator,F,VIC,196824,54673,2902,1498.0,4400,0.05,On,NEM,Biogas,,2014
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,422961,117489,0,1709.0,1709,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,SA,3172,881,624,0.0,624,0.71,Off,Off-grid,Solar,,2014
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,NSW,31209,8669,469,2.0,471,0.05,On,NEM,Landfill Gas,,2014
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,180662,50184,0,46.0,46,0.0,On,NEM,Hydro,,2014
AGL ENERGY LIMITED,Corporate Total,C,,153528941,42646928,38308564,358510.0,38667074,,,,,,2014
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,5900732,1639092,1301720,246.0,1301966,0.79,On,SWIS,Gas,,2014
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Wagerup Generation Facility,F,WA,637048,176958,111432,6229.0,117661,0.63,On,SWIS,Gas/Diesel,,2014
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Anglesea Power Station,F,VIC,4536940,1260261,1374358,411.0,1374769,1.09,On,NEM,Brown Coal,,2014
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,,11074720,3076311,2787510,6886.0,2794396,,,,,,2014
ALINTA ENERGY FINANCE PTY LTD,Augusta Power Stations,F,SA,9524596,2645721,2734413,7994.0,2742407,1.03,On,NEM,Brown Coal,,2014
ALINTA ENERGY FINANCE PTY LTD,Bairnsdale Power Station,F,VIC,539356,149821,81092,1008.0,82100,0.54,On,NEM,Gas,,2014
ALINTA ENERGY FINANCE PTY LTD,Braemar Power Station,F,QLD,7907969,2196658,1243347,829.0,1244176,0.57,On,NEM,Coal Seam Methane,,2014
ALINTA ENERGY FINANCE PTY LTD,Newman Power Station,F,WA,832806,231335,138146,0.0,138146,0.6,Off,Off-grid,Gas,,2014
ALINTA ENERGY FINANCE PTY LTD,Port Hedland Power Station,F,WA,1763554,489876,388562,0.0,388562,0.79,On,NWIS,Gas,,2014
ALINTA ENERGY FINANCE PTY LTD,Corporate Total,C,,20568281,5713411,4585560,9831.0,4595391,,,,,,2014
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,913852,253848,91,343.0,434,0.0,On,SWIS,Wind,,2014
APT PIPELINES LIMITED,Corporate Total,C,,913852,253848,91,343.0,434,,,,,,2014
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,9370735,2602982,1530289,854.0,1531143,0.59,On,NEM,Coal Seam Methane,,2014
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,,9370735,2602982,1530289,854.0,1531143,,,,,,2014
ATCO AUSTRALIA PTY. LTD.,Bulwer Island Energy Partnership facility,F,QLD,,,126378,45354.0,171732,,On,NEM,Gas,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications.",2014
ATCO AUSTRALIA PTY. LTD.,Karratha Power Station,F,WA,1706994,474165,270985,0.0,270985,0.57,On,NWIS,Gas,,2014
ATCO AUSTRALIA PTY. LTD.,Osborne facility,F,SA,,,608632,167.0,608799,,On,NEM,Gas,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications.",2014
ATCO AUSTRALIA PTY. LTD.,Corporate Total,C,,1706994,474165,1005995,45521.0,1051516,,,,,,2014
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Belmont Administration & Kalamunda Facility,FA,WA,20,6,19,18.0,37,3.42,On,SWIS,Liquid Fuel,,2014
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Canning Vale Facility,F,WA,2380,661,36,10.0,46,0.05,On,SWIS,Landfill Gas,,2014
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Red Hill Facility,F,WA,91876,25521,1277,1.0,1278,0.05,On,SWIS,Landfill Gas,,2014
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Tamala Park Facility,F,WA,114770,31881,1588,2.0,1590,0.05,On,SWIS,Landfill Gas,,2014
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,Corporate Total,C,,209046,58068,2920,31.0,2951,,,,,,2014
AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,NSW,3486738,968538,460102,0.0,460102,0.48,On,NEM,Gas,,2014
AXIA ENERGY AUSTRALIA PTY LTD,Corporate Total,C,,3486738,968538,460102,0.0,460102,,,,,,2014
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Condamine Power Station,F,QLD,2754361,765100,333565,526.0,334091,0.44,On,NEM,Gas,,2014
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Corporate Total,C,,2754361,765100,333565,526.0,334091,,,,,,2014
BHP BILLITON IRON ORE PTY. LTD.,Yarnima Power Station IOP,F,WA,1652126,458924,307351,0.0,307351,0.67,Off,Off-grid,Gas,,2014
BHP BILLITON IRON ORE PTY. LTD.,Corporate Total,C,,1652126,458924,307351,0.0,307351,,,,,,2014
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,6025829,1673841,1482015,2327.0,1484342,0.89,On,SWIS,Black Coal,,2014
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,,6025829,1673841,1482015,2327.0,1484342,,,,,,2014
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,6078158,1688377,1377635,1775.0,1379410,0.82,On,SWIS,Black Coal,,2014
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,,6078158,1688377,1377635,1775.0,1379410,,,,,,2014
BPIH PTY LIMITED,Brookfield District Energy (GX) Pty Ltd,F,NSW,78204,21723,11861,22049.0,33910,0.55,On,NEM,Gas,,2014
BPIH PTY LIMITED,Corporate Total,C,,78204,21723,11861,22049.0,33910,,,,,,2014
CANUNDA POWER PTY LTD,Canunda Wind Farm,F,SA,445274,123687,17,156.0,173,0.0,On,NEM,Wind,,2014
CANUNDA POWER PTY LTD,Corporate Total,C,,445274,123687,17,156.0,173,,,,,,2014
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,643940,178872,6032,1423.0,7455,0.03,On,NEM,Bagasse,,2014
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,375693,104359,3007,1687.0,4694,0.03,On,NEM,Bagasse,,2014
CAPE BYRON MANAGEMENT PTY LTD,Corporate Total,C,,1019633,283231,9039,3110.0,12149,,,,,,2014
CLARKE ENERGY (AUSTRALIA) PTY. LTD.,Daandine Power Station,F,QLD,,,125058,0.0,125058,,On,NEM,Coal Seam Methane,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications.",2014
CLARKE ENERGY (AUSTRALIA) PTY. LTD.,Corporate Total,C,,,,125058,0.0,125058,,,,,,2014
CONTRACT POWER AUSTRALIA PTY LTD,FMG Cloud Break Mine Site Power Station,F,WA,643454,178737,110575,0.0,110575,0.62,Off,Off-grid,Diesel,,2014
CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,WA,50926,14146,10193,0.0,10193,0.72,Off,Off-grid,Diesel,,2014
CONTRACT POWER AUSTRALIA PTY LTD,Corporate Total,C,,694380,192883,120768,0.0,120768,,,,,,2014
CS ENERGY LIMITED,Callide A Power Station,F,QLD,362952,100820,123177,43885.0,167062,1.22,On,NEM,Black Coal,,2014
CS ENERGY LIMITED,Callide B Power Station,F,QLD,12706326,3529535,3285158,34530.0,3319688,0.93,On,NEM,Black Coal,,2014
CS ENERGY LIMITED,Callide C Power Station,F,QLD,19988727,5552424,4961514,20952.0,4982466,0.89,On,NEM,Black Coal,"Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made.",2014
CS ENERGY LIMITED,Kogan Creek Power Station,F,QLD,20633364,5731490,4761463,2411.0,4763874,0.83,On,NEM,Black Coal,,2014
CS ENERGY LIMITED,Wivenhoe Power Station,F,QLD,72877,20244,23,50466.0,50489,0.0,On,NEM,Hydro,,2014
CS ENERGY LIMITED,Corporate Total,C,,53764246,14934513,13131335,152244.0,13283579,,,,,,2014
CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,WA,2566405,712890,227,611.0,838,0.0,On,SWIS,Wind,,2014
CWF HOLDINGS PTY LTD,Corporate Total,C,,2566405,712890,227,611.0,838,,,,,,2014
CWP RENEWABLES PTY LTD,Boco Rock Wind Farm Pty Ltd,F,NSW,751603,208779,55,720.0,775,0.0,On,NEM,Wind,,2014
CWP RENEWABLES PTY LTD,Taralga Wind Farm Pty Ltd,F,NSW,265563,73768,20,128.0,148,0.0,On,NEM,Wind,,2014
CWP RENEWABLES PTY LTD,Corporate Total,C,,1017166,282546,75,848.0,923,,,,,,2014
DELTA ELECTRICITY,Brown Mountain Power Station,F,NSW,48431,13453,6,0.0,6,0.0,On,NEM,Hydro,,2014
DELTA ELECTRICITY,Colongra PS,F,NSW,258467,71796,41565,3913.0,45478,0.58,On,NEM,Gas,,2014
DELTA ELECTRICITY,Vales Point Power Station,F,NSW,24972675,6936854,6020229,47711.0,6067940,0.87,On,NEM,Black Coal,,2014
DELTA ELECTRICITY,Corporate Total,C,,25279573,7022104,6061800,51624.0,6113424,,,,,,2014
DIAMANTINA HOLDING COMPANY PTY LIMITED,Diamantina Power Station,F,QLD,5410680,1502967,613667,95.0,613762,0.41,On,Mt Isa,Gas,,2014
DIAMANTINA HOLDING COMPANY PTY LIMITED,Corporate Total,C,,5410680,1502967,613667,95.0,613762,,,,,,2014
ECOGEN HOLDINGS PTY LTD,Jeeralang Power Station,F,VIC,79794,22165,15640,6730.0,22370,0.71,On,NEM,Gas,,2014
ECOGEN HOLDINGS PTY LTD,Newport Power Station,F,VIC,342893,95248,52641,24749.0,77390,0.55,On,NEM,Gas,,2014
ECOGEN HOLDINGS PTY LTD,Corporate Total,C,,422687,117413,68281,31479.0,99760,,,,,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Albany Wind Farm,F,WA,347600,96556,13,7.0,20,0.0,On,SWIS,Wind,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Bremer Bay Wind Diesel System,FA,WA,6664,1851,220,3.0,223,0.12,On,SWIS,Wind/Diesel,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Cockburn Power Station,F,WA,2369340,658150,260404,0.0,260404,0.4,On,SWIS,Gas,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Collie Power Station,F,WA,8061797,2239388,2024283,3244.0,2027527,0.9,On,SWIS,Black Coal,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Coral Bay Wind Diesel System,FA,WA,12118,3366,1813,0.0,1813,0.54,Off,Off-grid,Wind/Diesel,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Denham Wind Farm,F,WA,6871,1909,0,1.0,1,0.0,Off,Off-grid,Wind,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Esperance Wind Farm,F,WA,52851,14681,0,8.0,8,0.0,Off,Off-grid,Wind,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Geraldton Gas Turbine Station,F,WA,80,22,29,0.0,29,1.31,On,SWIS,Gas,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Hopetoun Wind Diesel System,FA,WA,19713,5476,2671,0.0,2671,0.49,Off,Off-grid,Wind/Diesel,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Photovoltaic,F,WA,81,23,0,4.0,4,0.0,On,SWIS,Solar,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Wind Farm,F,WA,15140,4206,0,6.0,6,0.0,On,SWIS,Wind,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,WA,6739,1872,1751,0.0,1751,0.94,On,SWIS,Gas,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,F,WA,3520116,977810,602488,700.0,603188,0.62,On,SWIS,Gas,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Muja Power Station,F,WA,13831474,3842076,3744318,1655.0,3745973,0.97,On,SWIS,Black Coal,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Mungarra Gas Turbine Station,F,WA,348804,96890,82909,0.0,82909,0.86,On,SWIS,Gas,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Pinjar Gas Turbine Station,F,WA,1670548,464041,376980,0.0,376980,0.81,On,SWIS,Gas,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,South West Cogeneration Joint Venture,F,WA,3568929,991369,623890,37.0,623927,0.63,On,SWIS,Gas,,2014
ELECTRICITY GENERATION AND RETAIL CORPORATION,Corporate Total,C,,33838865,9399685,7721769,5665.0,7727434,,,,,,2014
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,WA,701,195,138,0.0,138,0.71,On,SWIS,Liquid Fuel,,2014
ELECTRICITY NETWORKS CORPORATION,Corporate Total,C,,701,195,138,0.0,138,,,,,,2014
ENERGEX LIMITED,Energy Impact - Bromelton Peak Generation Plant,F,QLD,6745,1874,1402,427.0,1829,0.75,On,NEM,Liquid Fuel,,2014
ENERGEX LIMITED,Energy Impact - Generation,F,QLD,4125,1146,799,0.0,799,0.7,On,NEM,Liquid Fuel,,2014
ENERGEX LIMITED,Corporate Total,C,,10870,3019,2201,427.0,2628,,,,,,2014
ENERGY DEVELOPMENTS LIMITED,Appin CSM Power Station,F,NSW,588901,163584,124621,85.0,124706,0.76,On,NEM,Coal Seam Methane,,2014
ENERGY DEVELOPMENTS LIMITED,Ardyaloon Remote Power Station,F,WA,6385,1774,1275,0.0,1275,0.72,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Beagle Bay Remote Power Station,F,WA,5835,1621,1151,0.0,1151,0.71,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Belrose and Grange Avenue LFG Power Stations,FA,NSW,46595,12943,815,6.0,821,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Berwick LFG Power Station,F,VIC,86977,24160,1539,810.0,2349,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Bidyadanga Remote Power Staiton,F,WA,10466,2907,2094,0.0,2094,0.72,Off,Off-grid,Liquid Fuel,,2014
ENERGY DEVELOPMENTS LIMITED,Broadmeadows LFG Power Station,F,VIC,69413,19281,1230,10.0,1240,0.06,On,NEM,Landfill Gas,,2014
ENERGY DEVELOPMENTS LIMITED,Brooklyn LFG Power Station,F,VIC,61195,16999,1054,5.0,1059,0.06,On,NEM,Landfill Gas,,2014
