Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment,_query,latitude,longitude,geocode_status,formatted_address
SRPXQLG5,Varsity Views - Solar w SGU - QLD,QLD,0.2109,4227,Solar,18/12/2024,Unsuspended,0,,"Varsity Views - Solar w SGU - QLD, QLD, 4227, Australia",-28.0761361,153.4134383,OK,"12 Lake St, Varsity Lakes QLD 4227, Australia"
SRPYNS51,NNSWLHD-Byron Central Hospital - Solar - NSW,NSW,0.7203,2481,Solar,12/12/2024,Unsuspended,0,,"NNSWLHD-Byron Central Hospital - Solar - NSW, NSW, 2481, Australia",-28.6373653,153.5558978,OK,"54 Ewingsdale Rd, Ewingsdale NSW 2481, Australia"
SRPXQLG2,Springwood Terrace Care Community - Solar w SGU - QLD,QLD,0.189,4127,Solar,10/12/2024,Unsuspended,0,,"Springwood Terrace Care Community - Solar w SGU - QLD, QLD, 4127, Australia",-27.6096216,153.1337625,OK,"266 Parfrey Rd, Springwood QLD 4127, Australia"
SRPYNS45,Bunnings Bennetts Green - Solar - NSW,NSW,0.28,2290,Solar,3/12/2024,Unsuspended,0,,"Bunnings Bennetts Green - Solar - NSW, NSW, 2290, Australia",-32.9971536,151.6849801,OK,"20 Pacific Hwy, Bennetts Green NSW 2290, Australia"
SRPYNS46,Tuggerah Home MSB1 254kW - Solar - NSW,NSW,0.254,2259,Solar,2/12/2024,Unsuspended,0,,"Tuggerah Home MSB1 254kW - Solar - NSW, NSW, 2259, Australia",-33.3095544,151.4211499,OK,"Bryant Drive & Wyong Road, Tuggerah NSW 2259, Australia"
SRPYNS47,Tuggerah Home MSB2 245.5kW - Solar - NSW,NSW,0.2455,2259,Solar,2/12/2024,Unsuspended,0,,"Tuggerah Home MSB2 245.5kW - Solar - NSW, NSW, 2259, Australia",-33.3095544,151.4211499,OK,"Bryant Drive & Wyong Road, Tuggerah NSW 2259, Australia"
SRPYNS48,Tuggerah Home MSB3 372 kW - Solar - NSW,NSW,0.372,2259,Solar,2/12/2024,Unsuspended,0,,"Tuggerah Home MSB3 372 kW - Solar - NSW, NSW, 2259, Australia",-33.3095544,151.4211499,OK,"Bryant Drive & Wyong Road, Tuggerah NSW 2259, Australia"
SRPYNS43,Bunnings Dubbo - Solar - NSW,NSW,0.36,2830,Solar,29/11/2024,Unsuspended,0,,"Bunnings Dubbo - Solar - NSW, NSW, 2830, Australia",-32.2614785,148.6472272,OK,"Sheraton Rd, Dubbo NSW 2830, Australia"
SRPXVCF1,Haymes Paint - Solar w SGU - VIC,VIC,0.494,3355,Solar,29/11/2024,Unsuspended,0,,"Haymes Paint - Solar w SGU - VIC, VIC, 3355, Australia",-37.5149485,143.807815,OK,"1 Waringa Dr, Mitchell Park VIC 3355, Australia"
SRPXQLA0,Lagoons@Port CTS35761 Port Douglas - SOLAR - QLD,QLD,0.234,4877,Solar,29/11/2024,Unsuspended,0,,"Lagoons@Port CTS35761 Port Douglas - SOLAR - QLD, QLD, 4877, Australia",-16.5015646,145.465476,OK,"Davidson St, Port Douglas QLD 4877, Australia"
SRPVSAY2,Southern Steel Pty - Brice Metal - Solar w SGU - SA,SA,0.1999,5094,Solar,28/11/2024,Unsuspended,0,,"Southern Steel Pty - Brice Metal - Solar w SGU - SA, SA, 5094, Australia",-34.8211661,138.6066481,OK,"522 Cross Keys Rd, Cavan SA 5094, Australia"
SRPXVCE3,Tasman Foods International - Solar  wSGU - VIC,VIC,0.1489,3171,Solar,27/11/2024,Unsuspended,0,,"Tasman Foods International - Solar  wSGU - VIC, VIC, 3171, Australia",-37.9319921,145.1480123,OK,"1663 Centre Rd, Springvale VIC 3171, Australia"
SRPYNS42,Tweed Valley Care Community - Solar w SGU - NSW,NSW,0.1595,2485,Solar,27/11/2024,Unsuspended,0,,"Tweed Valley Care Community - Solar w SGU - NSW, NSW, 2485, Australia",-28.19326,153.5017171,OK,"Carramar Dr, Tweed Heads West NSW 2485, Australia"
SRPVWAM9,Singleton Community Aged Care - Solar w SGU - WA,WA,0.1998,6175,Solar,26/11/2024,Unsuspended,0,,"Singleton Community Aged Care - Solar w SGU - WA, WA, 6175, Australia",-32.4383539,115.754812,OK,"190 Foreshore Dr, Singleton WA 6175, Australia"
SRPYNS40,Inglis (4311292321) - Solar w SGU - NSW,NSW,0.2227,2170,Solar,26/11/2024,Unsuspended,0,,"Inglis (4311292321) - Solar w SGU - NSW, NSW, 2170, Australia",-33.9477825,150.9190988,OK,"Prestons NSW 2170, Australia"
SRPYNS38,Inglis (4311292319) - Solar w SGU - NSW,NSW,0.2227,2170,Solar,22/11/2024,Unsuspended,0,,"Inglis (4311292319) - Solar w SGU - NSW, NSW, 2170, Australia",-33.9477825,150.9190988,OK,"Prestons NSW 2170, Australia"
SRPVSAY0,Redmud Green Energy 188 - Solar - SA,SA,6.8425,5700,Solar,20/11/2024,Unsuspended,0,,"Redmud Green Energy 188 - Solar - SA, SA, 5700, Australia",-25.274398,133.775136,OK,Australia
SRPXNSW8,Coca-Cola Northmead 102 Briens - Solar - NSW,NSW,0.7342,2152,Solar,18/11/2024,Unsuspended,0,,"Coca-Cola Northmead 102 Briens - Solar - NSW, NSW, 2152, Australia",-33.7984722,150.9856258,OK,"128 Briens Rd, Northmead NSW 2152, Australia"
SRPVSAX8,MF Gallipoli Dr - Solar - SA,SA,1.0001,5010,Solar,18/11/2024,Unsuspended,0,,"MF Gallipoli Dr - Solar - SA, SA, 5010, Australia",-34.8512932,138.5740667,OK,"Gallipoli Dr, Ferryden Park SA 5010, Australia"
SRPYNS30,ISPT - Greystanes Industrial Park WH3 - Solar - NSW,NSW,0.2997,2145,Solar,18/11/2024,Unsuspended,0,,"ISPT - Greystanes Industrial Park WH3 - Solar - NSW, NSW, 2145, Australia",-33.8244561,150.9488196,OK,"Greystanes NSW 2145, Australia"
SRPYNS36,Woolworths Mt Annan 1388 - Solar - NSW,NSW,0.3321,2567,Solar,18/11/2024,Unsuspended,0,,"Woolworths Mt Annan 1388 - Solar - NSW, NSW, 2567, Australia",-34.0598824,150.7607157,OK,"Mount Annan NSW 2567, Australia"
SRPYNS27,Woolworths Schofields 1941 - Solar - NSW,NSW,0.3802,2762,Solar,18/11/2024,Unsuspended,0,,"Woolworths Schofields 1941 - Solar - NSW, NSW, 2762, Australia",-33.7015989,150.8734889,OK,"Schofields NSW 2762, Australia"
SRPVWAD6,Woolworths Southern River 4357 - Solar - WA,WA,0.1578,6155,Solar,18/11/2024,Unsuspended,0,,"Woolworths Southern River 4357 - Solar - WA, WA, 6155, Australia",-32.0900442,115.9425683,OK,"393 Warton Rd, Southern River WA 6110, Australia"
SRPYNS35,Big W DC Hoxton Park 190 - Solar - NSW,NSW,1.3276,2171,Solar,18/11/2024,Unsuspended,0,,"Big W DC Hoxton Park 190 - Solar - NSW, NSW, 2171, Australia",-33.9104574,150.8511729,OK,"40 Blackbird Cl, Hoxton Park NSW 2171, Australia"
SRPYNS29,ISPT - Greystanes Industrial Park WH1 - Solar - NSW,NSW,1.0001,2145,Solar,18/11/2024,Unsuspended,0,,"ISPT - Greystanes Industrial Park WH1 - Solar - NSW, NSW, 2145, Australia",-33.8244561,150.9488196,OK,"Greystanes NSW 2145, Australia"
SRPXQL46,MF Millaroo Dr - Solar - QLD,QLD,0.3,4212,Solar,18/11/2024,Unsuspended,0,,"MF Millaroo Dr - Solar - QLD, QLD, 4212, Australia",-27.933094,153.3370473,OK,"Millaroo Dr, Helensvale QLD 4212, Australia"
SRPXVC99,Bunnings Hawthorn - Solar - VIC,VIC,0.2541,3122,Solar,15/11/2024,Unsuspended,0,,"Bunnings Hawthorn - Solar - VIC, VIC, 3122, Australia",-37.8226911,145.0313672,OK,"230 Burwood Rd, Hawthorn VIC 3122, Australia"
SRPVWAM8,Woolworths Midvale 4686 - Solar - WA,WA,0.2245,6056,Solar,14/11/2024,Unsuspended,0,,"Woolworths Midvale 4686 - Solar - WA, WA, 6056, Australia",-31.8860118,116.0334804,OK,"Midvale WA 6056, Australia"
SRPYNS31,Coca-Cola Northmead 128 Briens - Solar - NSW,NSW,3.4413,2152,Solar,14/11/2024,Unsuspended,0,,"Coca-Cola Northmead 128 Briens - Solar - NSW, NSW, 2152, Australia",-33.7984722,150.9856258,OK,"128 Briens Rd, Northmead NSW 2152, Australia"
